word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
whom,to,26.39%,with,6.94%,man,6.94%
could,she,20.98%,he,11.78%,i,10.43%
speak,to,44.9%,not,12.24%,you,10.2%
never,i,16.06%,had,12.11%,have,5.07%
find,to,33.33%,not,10.67%,will,10.67%
bear,not,27.45%,to,17.65%,could,17.65%
change,the,18.33%,a,13.33%,any,5.0%
true,very,43.94%,of,9.09%,the,6.06%
going,was,14.68%,be,7.34%,am,7.34%
half,in,6.03%,for,5.17%,only,4.31%
them,of,9.74%,with,7.66%,to,6.5%
great,a,51.33%,very,7.6%,with,5.32%
must,i,15.44%,you,11.76%,she,10.48%
mrs,and,14.37%,to,8.56%,of,7.4%
natural,most,13.46%,very,13.46%,the,11.54%
he,that,10.29%,and,4.32%,as,4.26%
life,his,20.0%,of,16.25%,her,12.5%
without,and,5.19%,it,4.25%,but,3.77%
mind,her,24.59%,of,21.31%,a,8.2%
body,every,54.88%,any,41.46%,some,1.22%
though,and,20.47%,for,8.77%,that,4.09%
heart,her,18.46%,my,15.38%,own,10.77%
him,to,8.47%,of,6.35%,with,6.22%
time,the,15.58%,some,12.68%,a,5.43%
off,put,11.11%,set,11.11%,far,6.06%
beyond,much,14.81%,is,3.7%,go,3.7%
next,the,52.38%,very,6.35%,his,6.35%
visit,the,17.65%,a,10.59%,to,7.06%
isabella,poor,16.07%,and,10.71%,to,10.71%
children,the,44.07%,her,6.78%,five,6.78%
give,to,46.54%,not,7.55%,and,4.4%
again,back,4.29%,and,3.81%,her,3.81%
almost,was,10.23%,be,5.68%,is,4.55%
name,the,31.48%,to,9.26%,his,7.41%
really,i,12.58%,was,9.27%,is,6.62%
looked,he,23.75%,she,18.75%,and,12.5%
up,made,7.37%,give,6.84%,looked,4.21%
acquaintance,the,18.64%,old,11.86%,their,8.47%
wish,i,24.24%,not,9.85%,could,8.33%
things,of,12.9%,such,11.29%,other,6.45%
till,and,7.07%,it,4.04%,come,3.03%
made,have,10.88%,had,6.74%,which,6.22%
spirits,of,20.63%,his,12.7%,her,7.94%
part,to,13.24%,a,8.82%,the,8.82%
kind,very,22.5%,so,17.5%,the,12.5%
