word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
place,where,7.82%,of,7.58%,the,6.11%
before,the,21.61%,us,3.81%,him,3.65%
night,the,7.8%,of,6.42%,was,5.96%
however,the,9.45%,that,7.96%,it,3.98%
upon,the,34.03%,it,4.56%,a,4.56%
left,the,15.66%,bank,7.83%,to,4.47%
feet,in,12.1%,high,6.62%,long,6.43%
soon,as,20.49%,be,5.19%,the,4.44%
down,the,18.79%,to,8.14%,and,6.47%
see,the,12.08%,that,7.74%,it,6.04%
shall,be,15.11%,not,9.89%,have,8.81%
our,own,2.22%,captain,1.84%,projectile,1.84%
moment,the,13.02%,when,10.82%,of,6.84%
water,and,7.24%,which,4.17%,the,3.29%
uncle,prudent,34.04%,was,4.61%,and,3.37%
through,the,58.11%,which,6.42%,a,3.77%
air,and,8.03%,the,5.5%,it,3.44%
moon,and,6.73%,is,5.61%,was,3.59%
projectile,was,10.1%,had,5.29%,and,5.05%
