word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
never,i,16.05%,had,13.76%,would,5.47%
find,to,43.61%,will,9.02%,not,8.27%
going,was,16.46%,am,8.54%,not,6.71%
half,for,8.11%,in,5.41%,a,4.86%
them,of,11.11%,with,6.67%,to,5.61%
great,a,45.3%,with,8.17%,very,8.17%
must,you,14.93%,i,14.69%,it,9.24%
mrs,and,14.09%,to,7.77%,of,6.71%
he,that,11.66%,as,4.49%,if,4.26%
life,his,19.12%,in,14.71%,my,14.71%
without,and,5.04%,but,4.24%,it,3.98%
mind,her,24.55%,of,20.96%,his,8.98%
body,every,54.82%,any,41.57%,some,1.2%
though,and,21.3%,for,6.23%,that,4.16%
heart,her,24.3%,my,17.76%,his,7.48%
him,to,7.78%,with,6.72%,of,6.65%
time,the,13.63%,some,12.37%,this,5.66%
sister,her,37.93%,his,14.78%,your,10.84%
off,set,13.04%,put,7.45%,far,4.97%
next,the,58.33%,very,5.3%,his,3.03%
visit,the,16.92%,a,10.77%,to,10.0%
give,to,43.77%,not,8.19%,will,4.27%
again,her,4.74%,back,3.95%,and,3.95%
almost,was,9.66%,is,4.14%,be,4.14%
really,i,11.34%,was,10.5%,is,6.72%
looked,he,19.86%,she,17.12%,and,8.9%
up,made,5.45%,give,5.45%,looked,3.85%
acquaintance,the,19.63%,their,9.35%,my,7.48%
wish,i,22.91%,not,9.69%,to,7.05%
till,and,7.98%,it,4.26%,not,3.19%
made,have,9.18%,had,6.01%,be,5.06%
part,to,8.66%,a,7.87%,the,7.87%
kind,very,15.6%,the,15.6%,so,11.35%
nor,happiness,2.33%,doubt,1.55%,father,1.55%
ever,had,12.23%,for,9.09%,i,7.21%
when,and,13.32%,but,5.19%,that,2.81%
obliged,was,30.48%,much,12.38%,be,6.67%
able,be,31.2%,been,17.6%,being,9.6%
suppose,i,50.78%,to,15.62%,you,6.25%
feel,to,35.11%,i,14.5%,must,6.87%
done,be,23.91%,have,21.3%,had,16.52%
thing,any,37.67%,every,31.96%,a,5.48%
deal,great,69.05%,good,23.02%,vast,5.56%
if,and,10.47%,as,7.82%,but,5.17%
say,to,37.5%,dare,17.67%,not,4.31%
said,and,4.92%,he,4.56%,she,3.84%
poor,the,8.88%,my,8.28%,but,4.73%
is,it,24.6%,she,9.38%,he,8.62%
cannot,i,46.53%,you,10.2%,one,7.76%
you,if,4.64%,that,4.09%,do,3.78%
know,you,28.42%,not,21.49%,i,17.76%
good,a,17.31%,very,11.42%,the,5.71%
wife,his,56.88%,a,15.6%,the,7.34%
us,of,11.65%,let,11.28%,with,10.9%
my,of,9.73%,in,5.26%,to,4.69%
might,she,12.52%,he,11.55%,it,9.2%
where,and,7.78%,but,4.19%,know,3.59%
three,or,19.85%,the,8.4%,all,4.58%
dear,my,67.34%,oh,2.78%,poor,2.28%
often,very,12.22%,not,11.67%,so,9.44%
we,that,4.84%,and,4.15%,when,3.45%
shall,i,55.49%,we,17.03%,you,4.95%
see,to,47.97%,you,8.94%,i,7.86%
coming,his,18.57%,of,10.0%,was,7.86%
go,to,36.36%,must,9.52%,not,5.63%
am,i,95.6%,and,0.83%,how,0.55%
get,to,46.55%,not,6.9%,can,5.17%
far,so,32.03%,as,22.66%,very,9.38%
walk,to,24.53%,the,8.49%,a,7.55%
your,of,13.91%,in,4.68%,to,4.42%
carriage,the,55.77%,his,7.69%,a,6.73%
sure,am,55.88%,be,18.63%,was,7.84%
will,you,19.17%,i,13.67%,it,11.65%
like,not,12.41%,you,7.66%,should,5.84%
are,you,31.5%,they,12.81%,we,7.58%
while,and,11.82%,little,6.4%,worth,4.43%
our,of,17.75%,in,9.47%,to,7.1%
into,her,5.9%,it,4.59%,came,3.28%
talked,and,10.78%,had,8.82%,she,8.82%
may,you,18.5%,i,9.75%,it,9.0%
doubt,no,37.78%,a,16.3%,i,6.67%
whether,know,6.96%,doubt,5.22%,and,5.22%
take,to,32.65%,not,8.67%,and,5.61%
else,body,19.51%,nothing,17.89%,thing,9.76%
upon,depend,15.22%,and,3.48%,call,3.04%
make,to,47.47%,not,8.54%,will,5.06%
opinion,my,14.62%,her,12.31%,good,11.54%
me,to,13.31%,let,5.85%,with,5.44%
do,i,28.2%,to,13.94%,you,7.02%
manner,a,12.57%,her,8.38%,his,7.78%
right,the,15.75%,a,7.87%,is,6.3%
about,walked,2.78%,care,2.5%,nothing,2.22%
daughter,her,24.17%,his,17.5%,a,8.33%
tell,to,23.45%,not,8.97%,must,6.9%
immediately,was,11.38%,not,8.94%,she,6.5%
brother,her,27.43%,my,17.7%,his,15.93%
come,to,26.72%,not,7.25%,had,4.58%
out,it,4.93%,set,3.48%,find,2.9%
afraid,am,35.29%,be,12.75%,was,11.76%
