word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
ever,since,23.08%,heard,5.77%,seen,5.77%
has,been,17.59%,a,4.63%,the,3.7%
every,one,14.29%,day,9.09%,time,3.9%
get,the,6.94%,up,5.56%,there,5.56%
came,in,14.29%,back,10.99%,up,8.79%
herself,that,7.94%,to,7.94%,in,6.35%
i've,been,20.0%,never,4.62%,always,4.62%
did,not,36.05%,that,4.65%,the,3.49%
began,to,37.1%,slowly,3.23%,slipping,3.23%
said,that,7.23%,betty,6.02%,to,5.42%
know,how,15.87%,that,8.73%,you,6.35%
she's,the,12.73%,never,12.73%,a,9.09%
just,as,13.73%,a,6.54%,to,4.58%
well,as,12.66%,i,6.33%,that,6.33%
then,she,14.13%,the,4.89%,he,4.89%
off,the,21.57%,and,9.8%,her,7.84%
day,and,12.0%,for,6.4%,when,6.4%
here,and,16.67%,in,10.61%,is,10.61%
never,had,7.84%,been,5.88%,was,3.92%
time,to,14.88%,for,6.55%,and,6.55%
under,the,39.22%,her,23.53%,its,5.88%
he,was,9.51%,had,9.05%,said,4.64%
eyes,and,19.12%,i,4.41%,as,4.41%
looking,at,16.67%,down,12.96%,up,7.41%
until,the,15.69%,they,11.76%,she,11.76%
next,day,15.79%,morning,13.16%,week,5.26%
door,and,10.34%,she,6.9%,behind,6.9%
gay,i,5.13%,as,5.13%,was,3.42%
no,one,9.59%,more,8.9%,time,4.79%
me,to,11.38%,the,6.5%,that,5.28%
your,dungeon,3.51%,head,2.63%,father,2.63%
think,of,35.29%,that,11.76%,it,5.88%
went,to,15.38%,on,15.38%,back,10.99%
turned,to,16.07%,toward,16.07%,the,10.71%
people,and,5.56%,always,5.56%,who,5.56%
