word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
we,will,10.68%,shall,7.77%,are,7.77%
elizabeth,and,9.23%,she,6.15%,i,4.62%
own,room,10.34%,cousin,6.9%,age,6.9%
cried,margaret,18.18%,the,18.18%,basil,11.69%
susan,d,79.35%,dear,3.26%,i,2.17%
eyes,were,14.06%,and,9.38%,she,7.81%
such,a,55.17%,an,5.17%,things,5.17%
young,man,24.72%,girl,5.62%,lady,4.49%
once,more,20.0%,in,9.09%,you,7.27%
head,and,18.03%,of,6.56%,in,6.56%
still,she,9.43%,and,5.66%,the,5.66%
down,the,13.16%,on,6.58%,to,6.58%
lady,was,13.79%,i,10.34%,with,5.17%
looked,at,16.13%,up,8.06%,so,6.45%
their,heads,4.48%,own,4.48%,intent,2.99%
hand,and,18.18%,in,10.91%,on,9.09%
cousin,margaret,50.0%,i,5.0%,and,5.0%
boy,i,7.69%,cried,3.85%,you,3.85%
basil,and,5.41%,i,3.6%,was,3.6%
d,is,8.11%,was,4.05%,i,4.05%
