word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
then,the,5.13%,said,4.31%,he,3.29%
end,of,60.44%,to,5.49%,the,2.2%
coast,of,16.18%,and,4.62%,which,3.47%
least,two,7.14%,he,5.71%,to,4.29%
two,hundred,9.96%,letters,6.49%,years,4.76%
never,been,14.52%,seen,6.45%,have,6.45%
went,to,22.64%,toward,16.98%,on,9.43%
so,as,15.77%,much,5.36%,many,4.76%
other,blacks,4.51%,and,4.51%,hand,3.76%
thus,the,6.25%,he,4.69%,they,4.69%
give,a,14.29%,up,10.71%,him,10.71%
made,a,15.68%,by,6.49%,him,5.95%
could,not,35.05%,be,6.79%,only,6.52%
young,novice,46.91%,friend,19.75%,man,4.94%
jack,and,7.32%,was,6.83%,replied,6.34%
about,it,12.22%,the,10.0%,to,7.78%
cousin,benedict,85.36%,benedict's,8.79%,and,1.26%
benedict,had,7.76%,was,5.6%,and,5.17%
whom,he,19.32%,the,18.18%,you,7.95%
three,miles,10.47%,days,9.3%,or,6.98%
whole,crew,6.78%,night,5.08%,passage,3.39%
little,jack,34.38%,troop,8.81%,boy,6.25%
passed,in,10.61%,away,9.09%,the,7.58%
long,time,9.59%,as,5.48%,before,2.74%
meanwhile,the,24.68%,as,6.49%,captain,5.19%
child,and,10.67%,was,6.67%,replied,5.33%
now,in,5.73%,it,4.46%,the,4.46%
between,the,48.72%,its,3.85%,them,3.85%
would,be,23.07%,have,15.19%,not,11.6%
always,a,6.25%,ready,4.69%,deserted,3.12%
came,to,36.07%,and,6.56%,up,6.56%
into,the,49.28%,his,7.97%,a,7.25%
asked,mrs,25.0%,dick,11.72%,himself,10.16%
take,the,9.52%,his,7.14%,a,6.35%
old,tom,39.55%,black,14.18%,nan,6.72%
still,more,10.71%,in,2.86%,so,2.14%
might,be,24.0%,have,11.2%,perhaps,4.0%
last,time,7.44%,that,3.31%,day,2.48%
possible,to,18.97%,that,17.24%,the,8.62%
these,two,3.96%,parts,3.24%,blacks,2.16%
go,to,14.29%,and,6.49%,away,5.19%
nothing,to,12.31%,more,10.0%,of,9.23%
make,a,16.36%,the,13.64%,that,3.64%
besides,the,13.75%,he,8.75%,it,8.75%
being,able,3.33%,seen,3.33%,very,2.5%
having,been,12.36%,made,4.49%,had,3.37%
less,than,28.57%,to,4.29%,crowded,2.86%
said,mrs,11.59%,he,11.23%,to,10.51%
man,who,11.02%,to,5.51%,and,4.72%
have,been,13.51%,not,5.07%,done,3.19%
let,us,42.42%,him,12.12%,go,7.58%
alone,on,7.94%,did,6.35%,had,6.35%
rather,than,9.62%,curious,5.77%,fortunate,3.85%
like,a,29.46%,the,13.18%,an,8.53%
indeed,the,9.84%,replied,8.2%,that,4.92%
arms,and,8.2%,he,6.56%,she,6.56%
life,of,9.43%,on,7.55%,in,7.55%
no,longer,25.12%,doubt,5.53%,more,5.3%
seemed,to,64.63%,that,3.66%,as,2.44%
animal,is,8.7%,which,5.8%,kingdom,4.35%
must,be,26.01%,have,12.11%,not,8.07%
almost,immediately,13.51%,at,8.11%,without,5.41%
such,a,25.47%,was,9.43%,is,6.6%
mr,benedict,29.76%,harris,28.57%,dick,27.38%
