word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
such,in,8.36%,with,8.03%,of,7.02%
them,of,9.97%,to,5.27%,with,3.87%
few,a,67.91%,the,6.72%,very,5.6%
having,of,13.41%,and,11.45%,his,3.91%
up,it,3.63%,got,2.97%,looked,2.64%
voice,the,12.95%,low,11.87%,a,9.35%
much,so,23.56%,too,9.32%,very,9.32%
three,the,16.39%,or,14.75%,all,6.89%
face,his,28.34%,her,11.33%,the,10.6%
words,the,17.78%,these,17.41%,those,5.93%
let,and,10.4%,to,8.53%,you,4.27%
me,to,13.79%,at,6.04%,let,4.4%
see,to,33.52%,you,11.95%,i,11.54%
turned,he,17.37%,and,11.68%,had,5.99%
towards,turned,8.37%,hand,3.42%,looked,3.42%
fire,the,61.74%,of,4.82%,kitchen,3.22%
hands,his,32.21%,her,14.32%,my,6.49%
said,he,5.45%,i,3.85%,and,3.46%
might,he,15.22%,i,12.39%,it,11.15%
oh,me,5.74%,him,3.83%,you,3.83%
you,do,6.3%,if,5.33%,to,3.49%
must,i,22.02%,you,16.18%,he,10.79%
about,was,4.26%,looked,3.46%,all,2.93%
yet,and,21.2%,not,10.76%,was,4.11%
dear,my,47.5%,the,4.19%,poor,2.09%
heart,my,22.5%,his,14.29%,the,10.71%
pocket,mrs,17.8%,mr,17.42%,his,15.91%
she,that,9.18%,as,7.31%,and,5.34%
sir,yes,7.71%,you,5.95%,it,3.3%
own,his,40.19%,my,23.58%,your,10.57%
two,the,27.6%,or,12.21%,and,3.74%
know,i,25.68%,you,23.9%,don't,14.72%
way,the,21.24%,his,11.56%,my,5.06%
think,i,32.48%,to,19.27%,you,13.03%
hand,his,28.52%,her,11.04%,my,6.31%
round,looking,6.71%,and,6.02%,looked,4.4%
back,the,11.94%,come,8.42%,his,7.66%
hope,i,47.84%,the,7.45%,no,4.71%
too,was,5.76%,be,2.97%,not,1.86%
it's,but,6.37%,and,5.41%,that,2.55%
so,and,7.31%,was,7.17%,be,2.79%
mind,his,17.99%,my,16.07%,of,8.15%
give,to,26.99%,you,5.75%,would,5.31%
put,and,14.26%,to,9.64%,he,6.92%
bed,to,26.7%,the,20.39%,his,9.22%
side,the,19.86%,one,11.91%,his,8.3%
door,the,59.86%,a,5.28%,his,3.35%
good,a,20.52%,the,7.1%,very,3.87%
looking,and,12.15%,stood,4.34%,was,3.47%
girl,the,74.72%,little,3.02%,a,2.64%
brought,had,9.09%,have,9.09%,was,7.58%
here,come,5.19%,and,3.42%,you,2.73%
replied,sir,9.84%,he,3.83%,no,3.46%
street,the,54.03%,fleet,6.16%,high,5.69%
came,he,11.36%,i,7.51%,they,5.13%
left,had,13.95%,and,10.85%,i,6.98%
away,it,3.79%,him,3.59%,run,2.79%
once,at,32.38%,had,7.25%,than,4.15%
sat,he,15.89%,and,12.46%,i,8.1%
down,sat,8.57%,and,7.2%,it,3.17%
chair,his,24.55%,a,19.55%,the,17.73%
only,the,13.35%,not,8.76%,i,5.98%
same,the,90.13%,that,3.73%,very,2.4%
half,a,12.78%,and,7.03%,some,4.15%
through,passed,5.42%,him,4.51%,way,3.84%
cried,i,4.76%,he,4.17%,me,3.57%
then,and,29.91%,it,2.26%,him,1.95%
stood,he,15.55%,and,13.07%,i,7.42%
off,it,4.61%,far,2.85%,took,2.19%
against,up,3.6%,head,3.6%,proof,2.8%
without,him,3.49%,it,2.33%,and,2.09%
under,was,2.53%,and,2.28%,him,2.03%
quite,was,13.39%,not,8.66%,be,4.2%
enough,quite,3.7%,well,3.7%,had,2.96%
make,to,43.08%,and,6.27%,could,5.22%
knew,i,41.76%,he,18.24%,she,4.12%
still,was,12.4%,and,9.37%,were,4.68%
well,as,7.82%,very,7.55%,pretty,3.91%
nothing,was,6.74%,had,4.21%,is,3.79%
air,the,32.69%,an,12.69%,of,1.92%
moment,a,38.08%,the,26.69%,that,6.41%
want,you,27.18%,i,23.79%,don't,10.19%
though,as,15.61%,and,3.76%,me,3.18%
anything,for,8.68%,of,7.44%,do,6.2%
always,was,10.54%,he,4.84%,were,4.84%
indeed,and,6.98%,no,4.19%,was,2.79%
made,he,8.19%,had,8.05%,and,7.34%
people,the,27.69%,of,11.38%,many,4.31%
room,the,46.22%,his,3.89%,little,3.68%
window,the,51.24%,a,4.98%,little,3.48%
my,of,9.66%,in,7.39%,to,4.06%
open,the,15.42%,to,8.88%,an,6.07%
keep,to,47.37%,and,8.13%,i,4.31%
your,of,8.69%,in,7.87%,to,5.4%
coming,was,9.9%,of,3.96%,the,3.96%
something,was,10.03%,with,4.35%,that,4.01%
table,the,64.01%,a,4.84%,dressing,3.46%
yes,yes,7.11%,oh,2.54%,o,2.28%
men,the,16.28%,of,10.85%,two,10.08%
don't,i,36.61%,you,11.72%,and,2.6%
right,the,19.43%,his,12.37%,all,12.01%
manner,the,8.95%,his,7.39%,a,4.28%
just,had,14.22%,was,6.22%,you,2.22%
why,and,7.51%,me,4.34%,know,2.89%
took,he,19.08%,i,16.23%,and,13.82%
i'll,and,10.58%,or,7.21%,now,5.77%
eyes,his,33.74%,her,12.3%,my,7.91%
shall,i,38.72%,you,14.33%,we,9.76%
we,and,10.02%,when,8.2%,that,6.65%
father,her,29.13%,my,21.26%,your,9.06%
again,and,4.78%,back,3.3%,me,3.3%
go,to,25.59%,you,6.9%,i,5.63%
behind,from,8.37%,close,2.79%,door,2.79%
boy,the,29.6%,dear,13.18%,a,10.47%
home,at,16.12%,go,9.54%,come,5.59%
look,to,20.55%,a,7.63%,you,3.52%
years,many,10.53%,twenty,8.61%,of,8.13%
every,in,10.18%,of,6.53%,at,5.74%
returned,he,9.25%,i,5.97%,and,3.28%
like,you,4.86%,should,4.07%,was,3.81%
because,is,3.96%,not,3.47%,but,2.97%
