word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
they,were,22.18%,had,10.76%,are,6.72%
if,you,19.16%,he,17.96%,i,15.27%
say,that,14.19%,you,5.81%,to,5.16%
few,minutes,23.94%,days,15.49%,moments,12.68%
though,i,8.33%,she,8.33%,he,6.94%
others,and,9.62%,were,9.62%,equally,3.85%
half,an,19.12%,a,17.65%,so,8.82%
jane,and,11.24%,was,8.53%,had,7.75%
nor,was,8.7%,could,7.25%,did,5.8%
always,be,6.78%,been,4.24%,so,3.39%
something,to,14.49%,of,13.04%,more,8.7%
sisters,and,11.84%,were,10.53%,would,3.95%
way,to,15.89%,of,10.28%,and,6.54%
friends,and,18.87%,will,5.66%,at,5.66%
these,are,7.35%,words,5.88%,things,4.41%
least,to,6.15%,of,6.15%,it,6.15%
hope,of,15.0%,you,10.83%,to,10.83%
get,a,13.73%,to,7.84%,the,5.88%
many,years,8.7%,of,7.83%,months,6.09%
come,to,22.83%,back,9.78%,in,6.52%
us,to,5.83%,all,5.83%,if,3.33%
should,be,24.79%,have,14.46%,not,14.05%
since,the,17.24%,i,10.34%,her,10.34%
upon,my,20.55%,the,15.07%,it,13.7%
three,or,8.47%,weeks,8.47%,miles,6.78%
make,her,13.92%,him,11.39%,it,6.33%
mind,was,16.07%,and,8.93%,she,5.36%
less,than,15.58%,of,5.19%,agreeable,3.9%
herself,and,11.21%,she,6.28%,to,5.83%
life,and,7.14%,was,5.36%,saw,5.36%
its,being,9.8%,contents,4.9%,effect,2.94%
those,who,16.95%,of,8.47%,to,6.78%
till,the,19.57%,i,9.78%,she,7.61%
evening,in,7.04%,was,5.63%,and,5.63%
after,a,15.9%,the,10.26%,her,6.15%
then,you,3.59%,i,3.59%,we,3.59%
manner,of,14.74%,which,9.47%,and,8.42%
daughter,and,10.53%,he,5.26%,she,3.95%
we,are,11.2%,have,9.96%,shall,9.54%
mother,and,15.45%,was,8.18%,i,3.64%
elizabeth,was,10.85%,had,6.27%,and,3.73%
shall,be,16.15%,not,14.29%,have,6.21%
believe,it,11.76%,me,10.59%,i,7.06%
two,or,10.08%,sisters,4.65%,gentlemen,4.65%
opinion,of,37.88%,and,6.06%,in,4.55%
find,that,21.05%,out,15.79%,it,10.53%
began,to,40.68%,the,8.47%,it,5.08%
kitty,and,19.12%,who,5.88%,was,4.41%
father,and,11.4%,had,7.02%,was,6.14%
ill,of,20.27%,and,6.76%,natured,6.76%
does,not,62.03%,it,5.06%,he,5.06%
friend,and,7.22%,mr,7.22%,had,7.22%
myself,on,7.61%,to,7.61%,and,7.61%
acquaintance,with,15.69%,and,7.84%,the,5.88%
certainly,not,8.96%,was,4.48%,be,4.48%
cannot,be,21.1%,bear,4.59%,help,4.59%
really,is,4.6%,believe,4.6%,believed,3.45%
quite,a,8.33%,so,7.29%,well,5.21%
great,deal,16.31%,pleasure,6.38%,many,2.13%
knew,not,14.29%,how,10.71%,that,10.71%
while,she,13.51%,he,9.46%,they,8.11%
did,not,50.38%,she,7.25%,you,5.73%
morning,to,12.99%,and,9.09%,with,5.19%
ladies,were,10.81%,of,8.11%,in,8.11%
too,much,26.09%,little,4.35%,well,2.9%
gone,to,21.31%,on,6.56%,through,6.56%
never,be,6.88%,saw,5.05%,heard,5.05%
left,to,16.07%,the,12.5%,them,10.71%
room,and,13.33%,elizabeth,4.67%,for,4.67%
ever,be,7.03%,been,5.47%,had,2.34%
either,of,15.79%,side,15.79%,to,5.26%
time,to,9.0%,for,5.0%,and,4.5%
every,thing,7.77%,day,7.25%,moment,4.66%
could,not,32.12%,be,9.62%,have,5.38%
subject,of,15.48%,and,9.52%,was,7.14%
were,to,6.74%,not,4.61%,all,3.72%
whole,of,20.0%,party,18.67%,family,8.0%
nothing,to,14.29%,but,12.0%,of,8.57%
certain,that,26.92%,and,7.69%,it,7.69%
towards,the,30.65%,her,14.52%,mr,8.06%
wish,of,25.0%,to,21.88%,for,8.33%
being,in,8.09%,so,4.62%,the,3.47%
whose,affection,3.39%,very,3.39%,good,3.39%
saw,him,15.84%,her,8.91%,the,7.92%
town,and,12.7%,i,7.94%,last,6.35%
might,be,27.14%,have,21.61%,not,3.52%
another,and,5.56%,young,5.56%,word,5.56%
london,and,17.31%,i,3.85%,has,3.85%
brother,and,17.46%,is,9.52%,in,6.35%
looked,at,34.25%,up,5.48%,forward,5.48%
darcy,was,6.28%,and,5.19%,had,4.37%
attention,to,16.18%,was,10.29%,of,8.82%
having,a,7.45%,been,7.45%,done,3.19%
gave,her,23.08%,way,17.31%,a,9.62%
most,intimate,2.16%,agreeable,2.16%,disagreeable,1.62%
himself,to,13.01%,and,8.13%,he,4.88%
