word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
paris,in,41.18%,to,15.69%,from,9.8%
back,the,11.84%,came,6.58%,sent,5.26%
again,and,6.67%,meet,5.33%,it,5.33%
times,the,12.28%,at,12.28%,many,7.02%
states,united,31.34%,free,20.9%,northern,8.96%
women,the,27.27%,and,12.73%,men,7.27%
lady,and,15.08%,to,8.73%,of,8.73%
byron,lady,63.75%,the,12.5%,lord,8.75%
old,the,24.75%,an,9.09%,of,5.56%
city,the,53.45%,this,6.9%,that,5.17%
week,a,31.37%,this,13.73%,next,11.76%
sister,her,31.58%,and,5.26%,the,5.26%
writes,she,61.43%,he,4.29%,harriet,4.29%
year,a,26.83%,the,15.85%,this,13.41%
people,the,12.5%,of,7.89%,colored,5.26%
things,these,15.04%,the,10.62%,of,10.62%
they,that,9.44%,and,5.17%,as,4.94%
winter,the,29.82%,this,24.56%,last,12.28%
dr,to,17.33%,and,10.67%,of,10.67%
day,to,20.34%,the,16.1%,next,10.17%
south,the,73.58%,and,9.43%,in,5.66%
best,the,55.71%,and,7.14%,my,5.71%
good,the,14.71%,a,13.73%,and,4.9%
she,that,9.67%,which,5.22%,as,4.45%
place,the,13.77%,a,8.7%,first,7.25%
last,at,28.57%,the,24.57%,my,6.29%
same,the,86.6%,this,8.25%,that,4.12%
world,the,52.24%,this,13.43%,spirit,3.73%
which,in,11.65%,of,7.67%,with,2.8%
when,and,8.45%,time,4.66%,that,2.62%
about,was,2.67%,is,2.67%,all,2.22%
two,the,12.14%,or,11.65%,for,5.34%
books,of,11.32%,the,7.55%,her,7.55%
reading,been,14.77%,of,11.36%,the,5.68%
pleasant,a,23.08%,very,15.38%,the,7.69%
english,the,14.46%,an,8.43%,of,4.82%
taken,was,13.21%,have,11.32%,has,9.43%
henry,brother,12.35%,patrick,4.94%,son,4.94%
father,my,14.44%,her,8.89%,your,6.67%
little,a,30.14%,the,10.28%,my,3.9%
into,got,3.83%,came,3.45%,out,2.68%
children,the,19.53%,my,11.72%,her,8.59%
found,we,18.64%,and,14.41%,i,12.71%
five,twenty,13.43%,or,10.45%,of,8.96%
were,we,15.15%,they,9.9%,there,5.05%
then,and,30.4%,was,2.64%,but,2.2%
came,i,11.26%,then,7.95%,we,7.95%
mary,lady,21.15%,sister,11.54%,and,9.62%
another,of,10.78%,and,6.86%,to,5.88%
three,or,10.96%,for,8.22%,with,5.48%
before,day,4.27%,years,3.66%,and,3.05%
had,i,15.81%,we,10.33%,she,7.98%
only,the,12.02%,not,10.38%,i,4.92%
one,is,4.56%,was,4.2%,as,4.01%
just,have,13.64%,had,8.33%,is,6.82%
after,and,6.77%,soon,4.14%,night,2.26%
family,the,29.51%,his,8.2%,our,5.74%
ever,i,9.93%,as,9.27%,had,5.96%
are,we,9.96%,they,9.76%,you,9.36%
says,she,26.15%,he,23.08%,father,3.08%
between,land,6.76%,difference,4.05%,was,2.7%
interest,of,12.16%,the,10.81%,an,6.76%
such,of,7.88%,with,7.88%,in,7.47%
during,and,7.14%,children,5.36%,time,3.57%
friend,dear,29.17%,a,14.17%,her,5.0%
being,of,8.96%,as,6.72%,a,4.48%
upon,down,2.47%,called,2.47%,impressed,1.85%
yet,and,22.61%,as,6.09%,not,5.22%
whom,of,14.77%,to,13.64%,with,9.09%
seemed,it,24.68%,and,9.09%,she,5.19%
find,to,24.05%,we,18.99%,i,10.13%
whole,the,71.96%,my,7.48%,a,6.54%
there,that,7.39%,and,5.22%,as,2.61%
no,is,7.35%,have,6.39%,was,5.43%
mind,my,25.69%,of,12.5%,the,9.72%
whose,and,9.09%,in,4.55%,one,4.55%
he,that,9.37%,and,6.03%,which,4.13%
both,for,4.88%,that,4.88%,with,4.88%
better,is,9.26%,a,7.41%,getting,7.41%
remember,i,37.7%,well,9.84%,you,6.56%
like,is,5.62%,i,4.49%,and,2.25%
out,come,5.42%,worn,2.89%,came,2.53%
through,go,3.11%,all,2.48%,passing,2.48%
room,the,20.73%,drawing,8.54%,my,7.32%
morning,the,26.6%,this,14.89%,next,10.64%
us,for,11.9%,of,9.63%,to,7.93%
sent,was,17.46%,and,9.52%,have,7.94%
gone,has,25.0%,had,15.38%,have,13.46%
would,i,15.65%,it,9.27%,he,7.35%
very,a,18.73%,the,11.82%,was,6.34%
we,that,7.23%,and,6.1%,as,4.75%
also,was,8.97%,and,7.69%,is,6.41%
even,not,6.52%,and,6.52%,me,3.26%
down,and,6.82%,sat,4.55%,go,4.55%
said,and,7.56%,i,7.56%,she,6.4%
dear,my,53.8%,your,4.09%,the,2.92%
you,to,7.38%,that,5.33%,if,4.2%
done,be,32.26%,have,17.2%,been,7.53%
beautiful,a,29.47%,the,11.58%,most,6.32%
let,to,10.0%,and,8.57%,but,4.29%
next,the,56.52%,and,4.35%,what,4.35%
never,i,20.51%,have,6.41%,has,6.41%
saw,i,29.87%,we,14.29%,ever,12.99%
come,to,23.67%,have,5.92%,has,5.33%
believe,i,35.38%,not,13.85%,and,9.23%
among,and,5.75%,circulation,3.45%,be,2.3%
time,the,16.93%,this,16.61%,that,6.27%
go,to,30.94%,i,6.47%,we,6.47%
once,at,29.03%,me,3.23%,them,3.23%
bed,to,24.07%,my,18.52%,in,16.67%
each,to,9.8%,for,9.8%,on,7.84%
night,to,12.38%,last,12.38%,at,11.43%
well,as,14.67%,and,4.89%,so,3.8%
too,and,5.1%,is,4.08%,was,3.06%
see,to,42.48%,i,13.27%,you,8.41%
full,a,9.33%,and,8.0%,was,6.67%
know,i,19.53%,to,15.98%,not,12.43%
head,the,19.61%,my,15.69%,his,11.76%
thus,and,11.76%,were,5.88%,i,3.92%
think,i,41.75%,to,12.89%,not,5.67%
character,the,11.67%,her,10.0%,and,10.0%
always,was,8.16%,i,8.16%,has,7.14%
felt,i,42.7%,have,16.85%,they,3.37%
wish,i,56.6%,could,5.66%,we,5.66%
heard,have,20.69%,i,12.07%,been,6.9%
christ,of,24.14%,jesus,13.79%,that,6.9%
enough,long,5.56%,well,5.56%,old,3.7%
away,it,4.11%,came,4.11%,and,4.11%
long,a,15.54%,so,7.43%,the,6.76%
took,i,13.24%,we,13.24%,she,11.76%
white,the,16.98%,and,11.32%,great,5.66%
thing,one,20.51%,a,17.95%,the,11.54%
put,to,33.87%,i,8.06%,and,8.06%
other,the,29.3%,each,11.46%,any,10.83%
woman,a,26.32%,the,6.58%,literary,3.95%
following,the,86.32%,generation,1.05%,morning,1.05%
make,to,45.22%,and,7.83%,will,7.83%
while,a,9.09%,and,3.31%,little,3.31%
though,as,12.64%,and,12.64%,that,4.6%
because,so,3.12%,you,3.12%,and,3.12%
your,of,14.13%,in,9.6%,to,5.33%
quite,was,13.24%,am,8.82%,and,5.88%
could,i,31.52%,we,7.78%,he,7.39%
man,a,26.45%,the,9.03%,old,5.81%
fact,the,44.07%,in,22.03%,of,10.17%
hear,to,55.77%,not,3.85%,would,3.85%
thought,i,22.52%,have,11.71%,of,7.21%
went,we,29.63%,i,17.59%,and,10.19%
did,i,24.03%,we,7.75%,it,7.75%
must,i,26.97%,you,17.98%,it,8.43%
hand,my,11.32%,the,11.32%,his,9.43%
till,morning,3.33%,me,3.33%,not,3.33%
soul,the,31.25%,my,9.38%,a,7.81%
off,came,8.57%,set,5.71%,it,4.29%
take,to,33.72%,would,8.14%,and,6.98%
feeling,of,17.33%,and,9.33%,deep,6.67%
often,have,12.07%,so,10.34%,i,6.9%
heart,my,26.42%,the,8.49%,your,5.66%
state,the,23.53%,a,17.65%,future,7.35%
without,it,3.31%,and,3.31%,not,2.48%
hope,i,42.86%,and,10.39%,the,7.79%
something,is,16.18%,do,7.35%,that,5.88%
country,the,30.49%,this,21.95%,our,9.76%
feel,i,35.11%,to,14.5%,and,5.34%
still,but,11.43%,is,7.14%,was,7.14%
cause,the,50.0%,slavery,8.62%,to,5.17%
having,of,7.84%,after,5.88%,and,5.88%
almost,is,9.09%,seems,5.45%,i,5.45%
however,not,8.62%,time,5.17%,now,5.17%
since,ever,12.16%,have,5.41%,years,4.05%
wrote,i,26.32%,you,10.53%,she,8.77%
way,the,17.29%,this,7.52%,their,6.77%
subject,the,50.0%,this,29.41%,a,5.88%
nature,of,21.43%,human,12.86%,divine,5.71%
cannot,i,37.65%,we,9.41%,it,7.06%
power,the,20.9%,slave,10.45%,his,5.97%
nothing,is,7.45%,for,5.32%,that,5.32%
left,we,22.78%,i,11.39%,you,7.59%
may,you,17.71%,it,7.43%,i,7.43%
soon,as,19.05%,and,14.29%,will,6.35%
might,it,11.88%,i,9.9%,you,7.92%
general,a,30.19%,the,28.3%,in,7.55%
tell,to,40.74%,and,11.11%,will,9.26%
men,of,14.46%,young,7.23%,such,4.82%
spirit,the,29.85%,in,13.43%,a,11.94%
young,the,24.07%,a,20.37%,two,5.56%
london,in,28.95%,of,10.53%,new,9.21%
o'clock,eleven,21.57%,two,13.73%,five,9.8%
evening,the,43.84%,this,9.59%,last,5.48%
love,the,9.3%,i,9.3%,of,8.53%
looking,and,12.28%,are,5.26%,is,5.26%
right,the,22.73%,it,10.61%,was,6.06%
rest,the,49.06%,to,11.32%,at,5.66%
friends,of,8.06%,our,8.06%,my,7.26%
half,about,18.52%,a,16.67%,than,5.56%
anything,do,8.45%,be,5.63%,than,5.63%
present,the,28.33%,at,13.33%,my,6.67%
received,have,22.06%,i,11.76%,she,10.29%
poor,the,28.57%,my,9.09%,a,5.19%
far,so,25.0%,as,10.71%,thus,7.14%
s,b,84.66%,mr,7.98%,f,0.61%
seen,have,40.3%,be,13.43%,ever,10.45%
b,h,95.73%,e,1.42%,mrs,0.95%
yours,affectionately,15.15%,and,9.09%,sincerely,7.58%
husband,her,45.45%,dear,20.2%,my,19.19%
against,prejudice,5.26%,crusade,3.51%,flint,1.75%
