word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
use,of,10.88%,to,6.76%,me,5.88%
if,you,15.05%,i,13.33%,thou,9.54%
answer,to,7.18%,me,6.12%,you,4.79%
fair,and,7.31%,queen,1.89%,lady,1.89%
child,of,7.29%,and,7.29%,to,3.64%
mine,own,16.69%,eyes,9.67%,honour,6.61%
sum,of,36.21%,that,6.9%,and,3.45%
my,lord,13.11%,heart,2.75%,life,1.91%
count,the,7.14%,i,5.71%,my,4.29%
make,a,8.7%,me,7.23%,the,6.15%
old,man,10.91%,and,5.01%,lady,2.8%
excuse,me,8.14%,the,5.81%,my,5.81%
new,made,4.31%,born,2.75%,and,2.35%
made,me,7.99%,a,7.21%,of,5.22%
see,the,9.81%,you,4.81%,him,4.14%
blood,and,11.06%,of,7.08%,that,3.69%
look,you,13.71%,on,8.7%,to,8.34%
glass,and,15.58%,that,7.79%,of,7.79%
tell,me,24.3%,you,18.27%,him,10.35%
face,of,7.91%,and,7.69%,is,4.18%
is,the,7.7%,a,6.56%,not,6.1%
form,of,22.64%,and,15.09%,in,6.6%
another,part,14.49%,room,5.84%,way,2.82%
whose,high,1.04%,hand,1.04%,love,0.89%
dost,thou,50.45%,not,4.95%,love,1.58%
some,of,5.21%,other,3.24%,say,1.41%
mother,and,6.31%,to,4.8%,was,3.3%
she,is,12.4%,hath,4.07%,was,3.79%
womb,of,14.04%,and,7.02%,that,5.26%
who,is,7.59%,hath,3.8%,comes,3.4%
he,is,10.28%,hath,5.45%,that,3.74%
fond,of,10.77%,to,9.23%,and,4.62%
tomb,and,9.8%,of,5.88%,there,5.88%
love,and,7.86%,to,4.18%,i,3.82%
stop,the,14.29%,my,10.48%,your,4.76%
thee,and,4.77%,to,4.29%,for,3.03%
calls,me,15.96%,for,8.51%,on,5.32%
back,again,13.2%,to,10.26%,and,7.62%
lovely,boy,5.66%,bride,5.66%,lady,3.77%
her,and,2.73%,to,2.23%,in,1.26%
through,the,34.9%,my,4.03%,all,4.03%
age,and,11.21%,to,7.48%,is,5.61%
shalt,be,12.3%,not,11.99%,thou,11.36%
despite,of,57.69%,thy,5.77%,his,3.85%
golden,crown,3.85%,time,2.88%,sun,2.88%
live,to,9.62%,and,9.43%,in,8.87%
not,to,3.91%,so,3.5%,be,3.21%
single,fight,8.62%,and,6.9%,life,6.9%
image,of,38.89%,and,11.11%,in,3.7%
dies,in,7.32%,with,4.88%,and,4.88%
why,then,9.54%,should,4.98%,i,4.22%
spend,his,13.89%,my,6.94%,a,6.94%
upon,the,17.24%,my,9.64%,his,6.72%
gives,me,12.74%,the,9.55%,a,7.01%
doth,not,4.23%,the,4.23%,he,2.54%
lend,me,33.33%,it,6.14%,you,5.26%
those,that,24.25%,of,1.66%,which,1.66%
are,you,6.92%,not,4.83%,the,3.44%
free,and,9.79%,from,9.79%,for,5.67%
given,to,14.65%,me,14.65%,him,8.08%
