word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
old,an,12.98%,the,12.02%,my,4.23%
excuse,to,11.9%,no,7.14%,must,5.95%
new,a,12.46%,the,7.12%,his,4.63%
made,have,10.31%,hath,9.19%,and,6.5%
when,and,8.06%,but,3.46%,me,1.99%
see,to,19.77%,i,15.75%,you,7.5%
blood,the,9.72%,of,8.56%,my,7.55%
cold,a,7.42%,and,6.55%,is,6.11%
glass,a,16.67%,the,12.82%,my,10.26%
tell,to,9.93%,i,9.74%,and,8.79%
face,his,16.26%,thy,12.31%,my,10.77%
is,it,11.89%,he,7.09%,this,5.4%
form,the,12.5%,a,7.69%,his,6.73%
another,one,7.76%,such,5.71%,of,3.27%
whose,to,2.42%,in,2.27%,by,2.27%
fresh,the,11.88%,a,6.93%,and,5.94%
not,is,6.46%,will,6.38%,do,5.69%
dost,thou,39.95%,why,10.75%,what,6.78%
some,in,4.88%,with,4.45%,have,3.72%
mother,my,25.14%,his,8.38%,your,8.09%
she,that,5.91%,and,4.68%,if,4.37%
womb,the,17.86%,my,12.5%,her,12.5%
who,but,2.46%,and,2.3%,you,1.8%
he,that,5.21%,if,4.36%,and,3.64%
fond,so,13.64%,this,7.58%,thou,4.55%
love,my,9.24%,i,8.57%,in,7.29%
stop,to,23.53%,and,8.82%,will,3.92%
calls,that,16.3%,he,16.3%,who,13.04%
back,my,5.25%,come,4.96%,his,4.96%
lovely,my,14.04%,the,8.77%,a,8.77%
her,of,7.34%,to,6.15%,with,5.83%
through,and,5.08%,that,2.37%,me,2.03%
age,of,6.91%,his,5.53%,mine,5.07%
shalt,thou,79.87%,and,0.96%,there,0.96%
despite,in,43.64%,all,5.45%,my,3.64%
golden,the,24.27%,a,12.62%,and,8.74%
live,to,13.47%,i,12.36%,not,5.54%
single,a,20.0%,in,10.0%,the,6.67%
image,the,21.15%,thine,5.77%,thy,5.77%
dies,he,25.56%,that,7.78%,she,4.44%
why,and,2.28%,not,1.65%,hamlet,1.34%
spend,to,21.13%,and,8.45%,not,7.04%
upon,look,3.13%,think,1.45%,wait,1.39%
gives,he,12.99%,that,7.79%,and,6.49%
doth,he,6.39%,it,6.2%,that,4.68%
lend,to,6.86%,did,5.88%,and,4.9%
those,of,9.98%,to,7.28%,and,5.58%
are,you,20.87%,they,10.31%,we,8.25%
free,be,7.77%,and,7.25%,as,5.7%
abuse,no,11.54%,to,9.62%,not,5.77%
given,have,27.5%,hath,11.0%,and,8.0%
give,to,11.78%,and,7.33%,i,6.5%
use,to,14.58%,you,5.06%,will,4.46%
great,the,11.95%,a,11.31%,so,4.65%
yet,and,17.15%,but,5.8%,not,4.66%
canst,thou,59.78%,what,5.98%,how,5.43%
having,and,9.71%,who,6.29%,that,4.57%
alone,me,9.35%,i,4.88%,all,4.07%
nature,of,16.3%,the,4.97%,in,4.97%
gone,be,26.29%,is,14.44%,are,7.54%
leave,and,10.91%,me,9.0%,to,7.08%
must,i,22.64%,you,15.11%,we,7.65%
which,that,8.14%,the,4.74%,for,1.86%
lives,their,11.11%,our,9.26%,your,5.09%
th,i,22.15%,o,22.15%,to,19.38%
hours,two,15.65%,three,8.84%,the,8.16%
gentle,the,6.67%,my,6.41%,and,6.41%
work,to,10.1%,the,9.6%,of,6.57%
did,i,16.56%,he,8.11%,you,4.75%
every,and,9.04%,in,7.63%,of,6.22%
eye,mine,10.81%,the,10.4%,his,9.56%
play,to,9.57%,the,7.59%,a,5.61%
very,the,22.34%,a,14.9%,is,5.49%
same,the,59.77%,that,14.45%,this,13.6%
summer,the,13.11%,like,6.56%,thy,3.28%
winter,the,11.32%,that,9.43%,of,7.55%
him,with,6.48%,to,6.07%,let,5.08%
there,and,8.22%,is,4.28%,if,2.94%
leaves,he,10.26%,and,10.26%,the,7.69%
quite,me,7.14%,is,5.95%,and,5.95%
left,i,8.89%,and,8.89%,have,7.78%
prisoner,a,11.9%,the,9.52%,my,7.14%
walls,the,54.88%,your,4.88%,these,3.66%
nor,no,2.42%,not,2.11%,it,1.21%
no,is,6.71%,have,4.35%,no,2.6%
remembrance,the,15.87%,my,12.7%,his,6.35%
was,i,14.59%,it,10.72%,he,10.07%
flowers,with,15.58%,the,7.79%,of,6.49%
though,and,6.72%,for,3.44%,what,2.5%
they,that,5.0%,as,4.19%,and,4.12%
meet,to,16.03%,we,6.41%,not,5.13%
their,in,10.37%,of,7.67%,to,4.32%
show,to,14.82%,and,6.59%,will,4.24%
still,and,5.34%,be,3.24%,is,2.59%
let,and,12.42%,but,3.13%,then,2.6%
hand,your,10.38%,my,9.82%,thy,9.48%
ere,and,4.04%,or,3.5%,yet,3.5%
place,the,12.35%,this,11.96%,a,7.84%
pay,to,20.98%,shall,11.89%,and,8.39%
breed,to,14.29%,will,5.36%,and,3.57%
ten,of,6.45%,and,6.45%,is,5.16%
times,ten,16.22%,thousand,10.81%,twenty,9.01%
one,but,4.45%,the,3.92%,in,3.44%
than,more,17.65%,better,5.04%,worse,2.94%
could,i,33.43%,he,5.52%,you,4.33%
death,of,12.65%,to,9.51%,the,6.03%
do,i,22.47%,to,7.67%,you,6.79%
shouldst,thou,81.58%,why,2.63%,hearts,1.32%
depart,to,9.86%,you,8.45%,and,5.63%
living,a,8.4%,the,6.87%,and,6.11%
gracious,my,29.74%,most,9.23%,a,4.62%
light,the,7.37%,a,5.45%,this,4.49%
up,take,3.26%,stand,3.16%,it,2.97%
burning,the,16.13%,of,9.68%,a,8.06%
head,his,18.7%,my,15.46%,thy,10.69%
each,of,6.23%,to,5.86%,in,4.4%
under,and,3.33%,born,2.0%,stand,1.67%
sight,my,15.25%,the,11.21%,in,6.28%
looks,he,10.43%,his,6.09%,thy,5.65%
sacred,the,15.09%,a,9.43%,his,7.55%
majesty,your,44.96%,his,22.87%,of,4.65%
heavenly,the,12.68%,a,11.27%,o,7.04%
strong,the,8.18%,so,6.82%,as,4.55%
youth,of,10.18%,his,8.42%,the,7.02%
mortal,a,10.81%,the,9.91%,this,4.5%
attending,lady,15.38%,others,7.69%,gentlewoman,7.69%
from,me,2.93%,and,2.82%,him,2.56%
weary,the,9.47%,a,7.37%,my,6.32%
day,the,16.53%,this,11.25%,to,9.18%
low,and,14.68%,so,11.01%,as,8.26%
look,to,6.78%,you,5.65%,and,4.9%
way,the,20.75%,this,8.17%,that,5.88%
out,it,4.01%,him,3.51%,me,3.01%
going,am,13.64%,are,10.91%,is,5.45%
get,to,13.14%,go,8.65%,and,4.81%
son,my,15.7%,his,12.09%,your,10.52%
hear,to,17.91%,i,11.94%,you,9.53%
music,the,12.57%,in,6.28%,sweet,4.71%
war,of,30.22%,the,7.55%,in,5.4%
joy,of,7.14%,with,5.24%,my,4.76%
pleasure,your,20.88%,his,6.59%,our,6.04%
true,tis,7.53%,be,5.97%,a,5.85%
married,be,24.34%,have,5.26%,a,5.26%
offend,to,16.95%,not,10.17%,so,6.78%
ear,mine,13.3%,the,12.81%,your,9.36%
chide,to,33.33%,i,9.8%,you,7.84%
parts,the,5.98%,thy,5.13%,three,5.13%
mark,and,8.52%,the,7.62%,you,6.28%
husband,my,21.67%,a,13.33%,her,13.0%
happy,a,13.17%,and,8.29%,the,4.88%
note,the,8.07%,a,7.45%,of,4.35%
sing,and,11.11%,to,10.46%,will,5.88%
song,a,15.29%,the,10.59%,love,5.88%
many,so,12.82%,how,10.46%,as,7.76%
seeming,in,7.35%,a,5.88%,his,2.94%
wilt,thou,52.35%,what,5.64%,and,3.45%
prove,to,14.06%,will,8.84%,may,6.43%
none,and,4.51%,have,4.29%,is,3.65%
fear,i,23.09%,for,5.81%,of,5.5%
ah,elizabeth,3.07%,but,2.45%,henry,2.45%
wife,my,21.59%,his,14.88%,a,10.06%
widow,a,11.0%,the,9.0%,and,6.0%
weep,to,15.12%,and,12.21%,will,5.81%
hast,thou,63.37%,what,2.97%,that,2.31%
behind,left,8.8%,stay,8.0%,here,2.4%
private,in,24.66%,a,13.7%,some,6.85%
may,i,14.24%,you,11.44%,we,5.78%
keep,to,20.04%,and,7.59%,will,5.7%
mind,my,25.2%,the,10.3%,your,8.13%
hath,he,17.71%,that,6.24%,she,5.23%
end,the,15.41%,an,11.78%,to,4.83%
kept,have,15.45%,be,10.0%,and,7.27%
toward,again,2.94%,him,2.94%,and,2.94%
others,and,41.01%,with,10.14%,of,5.99%
bosom,my,16.53%,the,12.4%,thy,9.09%
sits,he,13.85%,that,6.15%,and,6.15%
himself,to,4.46%,of,3.79%,he,3.35%
such,with,8.32%,of,8.05%,in,7.45%
deny,to,12.69%,not,8.21%,you,8.21%
any,of,7.19%,if,6.13%,to,5.99%
grant,i,22.81%,to,7.89%,and,6.14%
most,a,10.63%,the,8.76%,and,5.7%
gainst,that,2.78%,wars,1.85%,thou,1.85%
chief,lord,18.81%,the,5.94%,my,2.97%
o,but,1.29%,out,1.24%,me,1.24%
change,to,8.86%,not,6.33%,this,4.43%
thought,i,16.87%,be,6.45%,a,4.71%
i,that,4.74%,and,3.88%,as,2.82%
hate,i,18.13%,in,3.85%,do,3.85%
presence,the,12.61%,your,10.81%,his,9.91%
kind,a,27.27%,this,5.94%,so,4.2%
at,and,2.54%,him,1.99%,is,1.87%
least,the,42.34%,at,36.04%,and,1.8%
me,let,6.88%,to,6.49%,with,4.85%
fast,so,14.89%,as,13.48%,stand,7.09%
mayst,thou,71.01%,easy,2.9%,long,2.9%
call,to,9.93%,and,6.8%,you,6.25%
wisdom,your,18.48%,of,8.7%,the,6.52%
without,not,3.9%,that,2.08%,it,2.08%
folly,my,9.41%,his,9.41%,in,4.71%
year,a,21.65%,the,18.56%,this,5.15%
would,i,28.75%,he,6.65%,you,6.28%
away,take,3.78%,come,3.78%,run,2.8%
whom,to,15.73%,on,4.46%,from,4.23%
rude,the,15.38%,so,8.97%,a,6.41%
best,the,29.81%,my,6.13%,your,4.86%
gave,i,19.59%,that,10.2%,you,7.76%
gift,the,24.19%,a,14.52%,his,4.84%
seal,the,10.29%,and,8.82%,to,8.82%
meant,i,28.3%,he,13.21%,and,7.55%
brave,a,14.62%,o,6.43%,my,4.68%
behold,to,16.27%,i,3.61%,can,3.01%
past,is,13.51%,are,8.78%,me,6.08%
white,the,14.69%,a,8.47%,and,5.65%
heat,the,22.67%,and,4.0%,this,4.0%
borne,have,15.91%,is,6.82%,had,5.68%
beard,his,17.44%,a,15.12%,white,6.98%
question,the,12.67%,in,10.0%,of,8.0%
among,one,3.41%,me,2.27%,down,2.27%
go,you,5.93%,to,5.75%,i,4.68%
since,but,7.91%,and,4.84%,ever,2.64%
themselves,they,5.14%,to,4.57%,gods,4.0%
grow,they,5.56%,do,4.86%,i,4.17%
can,i,23.05%,you,6.78%,that,4.63%
save,god,24.19%,to,21.4%,and,4.19%
takes,he,16.1%,and,11.02%,that,10.17%
hence,from,15.04%,him,6.41%,thee,5.57%
your,of,7.62%,to,5.45%,in,5.02%
longer,no,50.42%,any,4.2%,here,2.52%
yours,of,16.99%,and,11.2%,is,9.27%
here,and,5.14%,you,2.71%,me,2.67%
against,fight,2.59%,stand,1.21%,it,1.21%
coming,is,17.33%,are,8.0%,my,6.0%
prepare,therefore,9.68%,to,8.06%,them,6.45%
other,the,27.69%,no,9.9%,and,7.46%
hold,i,8.51%,to,6.43%,and,4.15%
find,shall,13.85%,to,12.52%,i,10.25%
again,back,5.84%,once,4.28%,come,3.37%
after,and,8.88%,me,1.87%,till,1.87%
issue,the,30.28%,their,4.59%,his,3.67%
house,the,22.22%,my,16.34%,his,5.66%
fall,and,6.12%,to,6.12%,the,4.89%
honour,your,15.42%,mine,11.98%,of,8.98%
rage,his,11.28%,in,9.77%,of,6.02%
dear,my,18.67%,so,4.0%,thy,2.89%
know,i,37.47%,you,12.94%,to,8.53%
had,i,24.0%,he,9.51%,you,5.39%
father,my,26.81%,your,9.32%,thy,7.23%
stars,the,20.48%,my,7.23%,our,4.82%
pluck,to,20.39%,and,11.65%,i,4.85%
methinks,yet,6.47%,now,4.32%,that,2.16%
have,i,28.04%,you,11.09%,we,5.23%
good,a,8.29%,my,8.21%,the,3.41%
evil,an,11.76%,of,10.29%,the,5.88%
quality,the,18.64%,of,8.47%,his,6.78%
fortune,of,7.72%,my,7.42%,and,5.34%
brief,be,25.27%,in,18.68%,a,4.4%
thunder,the,8.33%,in,8.33%,of,8.33%
rain,the,22.86%,and,8.57%,of,5.71%
wind,the,39.81%,and,3.4%,a,3.4%
princes,the,10.83%,and,8.33%,of,7.5%
oft,so,10.39%,as,8.44%,and,7.79%
heaven,of,14.24%,by,10.57%,to,10.57%
knowledge,my,14.81%,your,13.58%,the,12.35%
constant,and,12.5%,a,12.5%,the,5.36%
them,of,8.54%,let,6.27%,with,3.95%
read,i,8.38%,to,7.33%,you,7.33%
truth,the,26.87%,of,6.57%,in,4.78%
together,all,7.2%,go,3.03%,both,2.65%
thrive,so,11.67%,to,10.0%,and,8.33%
wouldst,thou,44.85%,what,19.12%,and,3.68%
thing,a,24.74%,the,15.79%,one,9.47%
grows,it,13.75%,that,6.25%,he,6.25%
holds,he,14.94%,that,10.34%,it,6.9%
little,a,37.79%,the,4.77%,as,4.77%
shows,it,7.14%,and,6.25%,that,5.36%
secret,in,12.5%,a,12.5%,the,11.11%
perceive,i,32.32%,you,13.13%,shall,7.07%
men,of,9.6%,all,2.94%,the,2.73%
even,and,5.63%,but,3.41%,that,2.73%
wear,to,16.58%,i,8.81%,and,6.22%
state,the,19.64%,my,11.78%,of,11.78%
stay,to,7.49%,not,7.25%,i,4.11%
rich,the,12.64%,so,7.14%,a,7.14%
before,i,1.94%,go,1.71%,you,1.6%
wherefore,but,14.29%,and,12.7%,know,3.17%
bloody,a,12.23%,the,11.35%,and,6.99%
tyrant,a,24.07%,the,22.22%,this,7.41%
means,what,13.53%,the,7.89%,no,6.77%
blessed,a,15.56%,the,10.0%,o,5.56%
stand,i,6.98%,to,5.9%,you,3.76%
