word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
we,are,15.47%,shall,12.85%,have,10.02%
why,not,11.11%,should,7.94%,because,7.94%
much,as,10.29%,more,7.35%,the,4.41%
say,that,23.81%,in,7.14%,the,5.95%
never,reach,6.49%,be,5.19%,seen,5.19%
air,the,6.0%,to,5.0%,and,5.0%
even,the,9.09%,if,6.49%,in,5.19%
should,be,21.95%,not,12.2%,have,12.2%
know,what,13.92%,that,13.92%,the,7.59%
her,disc,3.95%,satellite,3.29%,revolution,3.29%
see,the,20.22%,that,12.36%,it,11.24%
will,be,23.23%,not,6.77%,have,5.16%
him,to,8.4%,the,8.4%,and,7.56%
my,friends,15.54%,dear,10.81%,worthy,10.14%
me,to,25.0%,that,8.33%,and,5.0%
make,the,14.29%,a,10.71%,it,7.14%
toward,the,69.23%,her,4.62%,it,4.62%
each,other,43.06%,of,5.56%,with,2.78%
could,not,41.03%,have,7.69%,never,3.42%
man,of,15.0%,who,8.33%,he,5.0%
means,of,62.26%,to,11.32%,they,3.77%
being,able,3.49%,borne,3.49%,thus,2.33%
seemed,to,52.94%,impossible,7.84%,as,7.84%
must,be,21.35%,have,17.42%,necessarily,3.37%
certain,of,7.81%,degree,4.69%,amount,4.69%
under,the,47.27%,his,6.36%,such,6.36%
been,the,2.56%,very,2.14%,broken,1.71%
long,and,9.84%,as,6.56%,time,6.56%
any,case,12.36%,more,4.49%,other,3.37%
other,words,4.31%,than,3.45%,the,3.45%
through,the,60.67%,which,5.62%,space,5.62%
seen,the,9.62%,from,9.62%,in,7.69%
about,the,19.28%,to,8.43%,it,7.23%
only,one,8.23%,a,6.96%,the,5.7%
your,permission,5.63%,eye,2.82%,attention,2.82%
weight,of,24.0%,will,5.33%,and,4.0%
distance,of,26.92%,which,10.58%,from,7.69%
terrestrial,globe,29.58%,atmosphere,11.27%,attraction,8.45%
satellite,of,8.7%,is,7.25%,the,5.8%
can,be,12.7%,you,7.94%,only,6.35%
same,time,16.22%,conditions,6.76%,thing,6.76%
times,greater,14.04%,less,12.28%,the,7.02%
whole,of,19.3%,town,5.26%,people,3.51%
last,quarter,7.94%,and,3.17%,exclaimed,3.17%
she,is,15.71%,was,12.86%,had,7.14%
fall,upon,15.28%,back,11.11%,of,9.72%
atmosphere,of,6.94%,the,5.56%,in,5.56%
where,the,31.15%,are,8.2%,they,6.56%
attraction,of,13.11%,and,11.48%,was,6.56%
miles,and,9.57%,of,7.45%,in,5.32%
within,the,33.96%,a,9.43%,an,7.55%
sun,and,10.87%,it,5.43%,as,3.26%
light,and,15.71%,of,10.0%,the,8.57%
feet,in,21.14%,and,5.69%,the,5.69%
surface,of,50.67%,and,5.33%,a,4.0%
disc,the,8.25%,which,7.22%,was,6.19%
rays,of,16.42%,which,5.97%,on,4.48%
globe,and,10.17%,which,6.78%,is,3.39%
heat,and,8.33%,which,8.33%,of,6.67%
over,the,44.3%,a,5.06%,and,5.06%
enough,to,42.62%,for,21.31%,that,3.28%
speed,of,16.87%,would,7.23%,had,6.02%
course,of,17.31%,to,7.69%,was,7.69%
let,us,61.45%,them,4.82%,down,4.82%
pounds,of,42.59%,weight,7.41%,and,7.41%
captain,and,7.69%,had,5.77%,i,5.77%
travelers,were,8.33%,and,4.17%,on,3.12%
