word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
lady,the,22.22%,of,6.94%,beautiful,5.56%
lord,the,47.87%,my,9.04%,of,5.32%
chancellor,lord,100.0%
could,he,41.88%,she,11.11%,i,5.98%
professor,the,70.27%,said,4.05%,was,2.7%
captain,the,51.88%,of,6.02%,said,5.26%
douglas,captain,74.16%,and,4.49%,said,2.25%
might,he,24.0%,it,8.0%,you,8.0%
still,was,18.75%,but,7.81%,quite,6.25%
come,had,26.47%,to,4.41%,must,4.41%
thing,of,20.25%,a,16.46%,the,12.66%
seemed,it,40.0%,he,14.12%,that,8.24%
nothing,of,7.41%,was,7.41%,him,3.7%
its,in,12.31%,of,9.23%,on,6.15%
night,the,24.53%,that,11.32%,all,11.32%
back,his,8.33%,the,8.33%,go,7.14%
again,and,13.64%,then,4.55%,over,4.55%
here,and,9.09%,look,7.27%,come,3.64%
my,of,5.94%,in,4.95%,know,2.97%
we,and,6.06%,when,4.55%,as,4.55%
caravan,the,88.89%,yellow,4.17%,a,2.78%
madeleine,of,15.52%,said,13.79%,with,8.62%
william,said,28.0%,and,8.0%,of,5.33%
bowles,mrs,56.06%,professor,33.33%,judy,6.06%
